ID,Recipient_name,Recipient_glottocode,Recipient_iso639-3,Recipient_genus,Donor_name,Donor_glottocode,Donor_iso639-3,Donor_genus,reliability,number_of_interrelated_affixes,number_of_borrowed_affixes,Area,References,Adjectivizer_or_Adverbializer,Particle,Case_Suffixes,Noun,Nominalizer,Number_and_Numeral_Representations,Valency_Changing_Verbal_Suffixes,Verb
http://afbo.info/pairs/72,Malagasy,plat1254,plt,Barito,Swahili,swah1253,swh,Bantoid,mid,,2,Southeast Asia & Oceania,"adelaarmalagasy2012, adelaaraustronesian2005, bowdenamalgamation2010, adelaarloanwords2009",0,0,0,1,0,0,0,1
http://afbo.info/pairs/73,Malagasy,plat1254,plt,Barito,Banjar Malay,banj1239,bjn,Malayic,mid,,4,Southeast Asia & Oceania,"adelaarmalagasy1995, adelaarmalagasy2012, bowdenamalgamation2010",0,0,0,0,2,0,1,1
http://afbo.info/pairs/75,Wayampi‑Emerillon‑Zo’é,waya1271,,Tupi-Guarani,intermediate Proto‑Carib,cari1283,,Cariban,mid,,1,South America,roseborrowing2012,0,0,0,0,0,1,0,0
http://afbo.info/pairs/77,Hawaiian,hawa1245,haw,Oceanic,English,stan1293,eng,Germanic,high,,1,Southeast Asia & Oceania,parkerjonesloanwords2009,0,0,0,0,0,1,0,0
http://afbo.info/pairs/78,Kola Saami,kild1236,sjd,Finnic,Russian,russ1263,rus,Slavic,high,3,5,Eurasia,"matrasgrammatical20072, rieslerloanwords2009, postnorthern2006, hasselblattkomisaamirussian2011, magistesuffixentlehnung1968",0,0,0,3,1,0,0,1
http://afbo.info/pairs/82,Western Kurmanji,nort2641,kmr,Iranian,Turkish,nucl1301,tur,Turkic,mid,,1,Eurasia,"matrasgrammatical20075, matrasborrowability2007",0,1,0,0,0,0,0,0
http://afbo.info/pairs/83,Manange,mana1288,nmm,Bodic,Nepali,nepa1252,nep,Indic,mid,,1,Eurasia,"hildebrandtgrammar2004, matrasgrammatical20071",0,0,0,0,0,1,0,0
http://afbo.info/pairs/85,Yiddish,east2295,ydd,Germanic,Russian,russ1263,rus,Slavic,mid,11,13,Eurasia,"weinreichyiddish1958, matrasgrammatical20073",2,0,0,6,3,1,0,1
http://afbo.info/pairs/87,Megleno Romanian,megl1237,ruq,Romance,Bulgarian,bulg1262,bul,Slavic,high,35,35,Eurasia,"gardaniborrowing2008, puscariurumanische1943, capidanmeglenoromanii1925, sandfeldproblemes1938, capidanbilinguisme1940, weinreichlanguages1953",2,0,0,12,9,0,0,12
http://afbo.info/pairs/88,Arvanitic Albanian,arva1236,aat,Albanian,Greek,mode1248,ell,Greek,high,30,31,Eurasia,"sassearvanitika1991, sassesprachkontakt1985",0,0,0,4,2,14,0,11
http://afbo.info/pairs/92,Lithuanian Romani,balt1257,rml,Indic,Russian,russ1263,rus,Slavic,high,6,5,Eurasia,tenserlithuanian2005,1,0,0,0,0,0,0,5
http://afbo.info/pairs/93,Sierra Popoluca,high1276,poi,Mixe-Zoque,Spanish,stan1288,spa,Romance,mid,,1,South America,"gutierrezmoraleskueteero2005, gutierrezmoralesborrowing2008",0,0,0,0,1,0,0,0
http://afbo.info/pairs/94,Brahui,brah1256,brh,Northern Dravidian,Makrān Baluchi,east2304,bgp,Iranian,high,2,3,Eurasia,"andronovbrahui1980, emeneaubrahui1962, steeverbrahui1998",2,0,0,0,0,0,0,1
http://afbo.info/pairs/95,Semelai,seme1247,sza,Aslian,Malay,mala1479,zlm,Malayic,high,6,8,Southeast Asia & Oceania,kruspegrammar2004,0,0,0,0,1,0,3,4
http://afbo.info/pairs/96,Tukang Besi,tuka1248,khc,Sulawesi,Indonesian,indo1316,ind,Malayic,high,,1,Southeast Asia & Oceania,donohuegrammar1999,0,0,0,0,0,0,1,0
http://afbo.info/pairs/97,Kwerba Kasonaweja,nucl1595,kwe,Kwerba,Warembori,ware1253,wsa,Lower Mamberano,high,3,3,Southeast Asia & Oceania,,0,0,0,0,0,0,0,3
http://afbo.info/pairs/98,Lezgian,lezg1247,lez,Lezgic,Farsi,west2369,pes,Iranian,high,3,3,Eurasia,haspelmathgrammar1993,0,0,0,0,3,0,0,0
http://afbo.info/pairs/99,G|ui‑Gǁana,gwii1239,gwj,Central Khoisan,Shua‑Tshwa,naro1249,nhr,Central Khoisan,low,,1,Africa,"vossenkhoesprachen1997, guldemannreconstruction2004",0,0,0,0,0,0,0,1
http://afbo.info/pairs/100,Central Siberian Yupik Eskimo,cent2128,ess,Eskimo,Chukchi,chuk1273,ckt,Northern Chukotko-Kamchatkan,high,3,3,North America,"miyaokagrammar2012, dereusesiberian1994",0,3,0,0,0,0,0,0
http://afbo.info/pairs/101,Kayardild,kaya1319,gyd,Taustralia & New Guineakic,Karrwa,gara1261,gbc,Garrwan,high,,1,Australia & New Guinea,,0,0,0,0,0,1,0,0
http://afbo.info/pairs/102,Kurux,kuru1302,kru,Northern Dravidian,Hindi,hind1269,hin,Indic,mid,6,8,Eurasia,"abbilanguages1997, mishraword1996, abbimanual2001",4,0,0,1,0,2,1,0
http://afbo.info/pairs/107,Turkish,nucl1301,tur,Turkic,Persian,west2369,pes,Iranian,high,6,7,Eurasia,"memoglusuleymanogluturkcenin2006, vietzerucklaufiges1975, kubiyakrucklaufiges2004, kornfiltturkish1997, gokselturkish2005, nisanyansozlerin2009, zenginturkcenin2009",1,0,0,0,5,1,0,0
http://afbo.info/pairs/108,Azari,sout2697,azb,Turkic,Persian,west2369,pes,Iranian,high,9,10,Eurasia,dehghanigrammar2000,3,0,0,1,5,1,0,0
http://afbo.info/pairs/109,Kashmiri,kash1277,kas,Indic,Persian,west2369,pes,Iranian,high,13,13,Eurasia,"walikashmiri1996, bhatdescriptive1987, koulstudies2005",4,0,0,0,4,5,0,0
http://afbo.info/pairs/110,Khanty,khan1273,kca,Ugric,Komi‑Zyrian,komi1268,kpv,Finnic,high,14,15,Eurasia,"sauersyrjanischen1963, sauernominalbildung1967, magistesuffixentlehnung1968",7,0,0,1,0,1,4,2
http://afbo.info/pairs/111,Finnish,finn1318,fin,Finnic,Swedish,swed1254,swe,Germanic,high,2,3,Eurasia,magistesuffixentlehnung1968,0,0,0,2,1,0,0,0
http://afbo.info/pairs/112,"Carapana, Tatuyo, Wáimaja, and Yurutí",tatu1247,tav,Tucanoan,Yucuna and Cabiyarí,yucu1253,ycn,Arawakan,mid,,1,South America,metzgermorpheme1998,0,0,0,0,0,0,0,1
http://afbo.info/pairs/113,Basque,basq1248,eus,Basque,Latin,lati1261,lat,Romance,high,35,35,Eurasia,"hualdenoun2003, hualdesegmental2003, seguramunguialatin1996, mujikalatina1982, hualdederivation2003, haasesprachkontakt1992, hualdegrammar2003",2,0,0,5,23,5,0,0
http://afbo.info/pairs/114,Moroccan Arabic,moro1292,ary,Semitic,Moroccan Berber languages,atla1275,,Berber,high,,1,Africa,zelloumoroccan2011,0,0,0,0,1,0,0,0
http://afbo.info/pairs/116,Wutun,wutu1241,wuh,Chinese-based,Tibetan,tibe1272,bod,Bodic,mid,7,7,Eurasia,"slatergrammar2003, janhunenwutun2008, liverbmedial1984, wurmwutun1996",0,0,2,0,0,0,1,4
http://afbo.info/pairs/117,Quechua de Puno,puno1238,qxp,Quechuan,Aymara,cent2142,ayr,Aymaran,high,8,9,South America,"hannsuchumataqu2008, wurmquechua1996, adelaaraymarismos1987",0,0,0,0,0,0,0,9
http://afbo.info/pairs/118,Chinese of Línxìa/Hézōu,mand1415,cmn,Chinese,Santa,dong1285,sce,Mongolic,mid,,1,Eurasia,"dwyeraltaic1992, slatergrammar2003, wurmhezhou1996, liverbmedial1984",0,0,1,0,0,0,0,0
http://afbo.info/pairs/119,Judeo‑Spanish,ladi1251,lad,Romance,Turkish,nucl1301,tur,Turkic,high,6,6,Eurasia,varolbornesjudeoespagnol2008,0,0,0,1,2,3,0,0
http://afbo.info/pairs/124,Karelien,kare1335,krl,Finnic,Russian,russ1263,rus,Slavic,mid,6,6,Eurasia,"alvrerussische2002, raunkarelian1964, laanesteinfuhrung1982",0,0,0,6,0,0,0,0
http://afbo.info/pairs/125,Tariana,tari1256,tae,Arawakan,Eastern Tucanoan languages,east2698,,Tucanoan,high,2,3,North America,"aikhenvaldgrammar2003, aikhenvaldtariana1999, aikhenvaldinvisible2012",0,1,0,0,0,0,0,2
http://afbo.info/pairs/126,Kalderash Romani,vlax1238,rmy,Indic,Greek,mode1248,ell,Greek,high,2,5,Eurasia,"boretzkymorphologische1991, boretzkyromani1994",1,0,0,1,2,1,0,0
http://afbo.info/pairs/127,Cho’ol,chol1282,ctu,Mayan,Spanish,stan1288,spa,Romance,high,3,3,North America,"knowlesdescriptive1984, vasquezalvarezgrammar2011, durreinfuhrung2012",0,0,0,0,0,0,0,3
http://afbo.info/pairs/128,Cho’ol,chol1282,ctu,Mayan,Zoquean languages,zoqu1261,,Mixe-Zoque,high,,1,North America,"martinezcruzadjetivos2007, zavalaoraciones2007, vasquezalvarezgrammar2011",0,0,0,0,0,0,0,1
http://afbo.info/pairs/130,Western Neo‑Aramaic of Ma’lūla,west2763,amw,Semitic,Arabic,nort3139,apc,Semitic,high,,1,Eurasia,lipinskisemitic1997,1,0,0,0,0,0,0,0
http://afbo.info/pairs/132,Assamese,assa1263,asm,Indic,Tibeto-Burman languages,brah1260,,Baric,mid,15,15,Eurasia,"goswamiasamiya2003, masicaindoaryan1991, matraslanguage2009",0,0,0,0,0,15,0,0
http://afbo.info/pairs/133,Tetun Dili,tetu1246,tdt,Tetun-based,Portuguese,port1283,por,Romance,high,,1,Southeast Asia & Oceania,hajeklanguage2006,0,0,0,0,1,0,0,0
http://afbo.info/pairs/134,Purepecha/Tarascan,pure1242,tsz,Tarascan,Spanish,stan1288,spa,Romance,high,,1,North America,chamoreauspanish2012,0,0,0,1,0,0,0,0
http://afbo.info/pairs/135,Mexicanero de la Sierra Madre Occidental,dura1245,nln,Aztecan,Spanish,stan1288,spa,Romance,high,,1,North America,chamoreauspanish2012,0,0,0,1,0,0,0,0
http://afbo.info/pairs/136,Yucatec Maya,yuca1254,yua,Mayan,Spanish,stan1288,spa,Romance,high,,1,North America,chamoreauspanish2012,0,0,0,1,0,0,0,0
http://afbo.info/pairs/137,Kedang,keda1252,ksx,Central Malayo-Polynesian,Indonesian,indo1316,ind,Malayic,low,,1,Southeast Asia & Oceania,"matraslanguage2009, samelykedang1991",0,0,0,0,1,0,0,0
http://afbo.info/pairs/138,Iraqi Arabic,meso1252,acm,Semitic,Turkish,nucl1301,tur,Turkic,high,4,4,Eurasia,"masliyahfour1996, nisanyansozlerin2009",0,0,0,0,3,1,0,0
